Date,Time,Agent ID,Department ID,Talk Time,Hold Time,ACW Time,Waiting Time,Call Transferred
2024-01-10,11:18:33,7,2,284,143,108,260,1
2023-05-08,10:06:48,8,2,401,166,119,287,1
2023-08-09,12:14:29,15,4,576,64,113,277,1
2024-08-16,20:26:39,24,1,580,177,27,222,1
2022-10-06,11:13:35,24,1,226,66,86,296,1
2023-09-15,11:58:19,8,1,413,154,67,150,1
2022-08-25,15:22:52,10,1,349,225,112,151,1
2023-05-06,21:28:13,4,1,365,201,87,288,1
2022-03-13,16:29:22,12,2,448,162,27,284,1
2022-06-28,09:07:03,4,4,208,89,80,110,0
2023-08-23,15:16:30,11,1,454,166,118,87,1
2022-07-09,20:38:02,7,1,185,123,104,267,0
2023-06-05,21:40:10,21,1,295,144,32,205,0
2023-02-08,11:45:19,12,1,216,241,68,172,0
2022-01-28,13:21:27,11,1,228,253,84,163,0
2022-03-06,18:57:26,25,2,398,199,37,125,1
2024-01-05,14:34:44,1,1,559,158,85,231,1
2023-02-05,17:33:07,1,2,298,108,30,281,1
2024-02-09,13:32:26,6,1,473,154,85,252,0
2022-08-17,10:01:49,12,1,385,227,29,58,0
2022-02-12,14:33:18,15,1,206,93,50,193,0
2024-09-08,14:54:26,19,3,405,89,35,254,0
2023-03-02,14:51:00,21,3,529,199,54,196,0
2024-01-22,14:44:02,19,1,360,145,59,169,1
2022-10-31,12:31:43,4,1,454,252,106,154,0
2022-11-19,14:24:01,8,2,511,224,95,252,0
2024-10-08,09:48:10,21,2,355,180,111,65,0
2023-10-11,08:37:15,22,2,283,274,74,123,1
2023-12-08,16:23:06,2,1,277,69,43,85,1
2022-04-08,23:52:10,14,3,542,178,119,189,0
2022-09-13,12:49:34,4,2,322,154,73,197,0
2024-08-09,13:44:04,5,1,227,122,104,122,0
2023-08-30,15:34:20,2,1,283,131,114,124,0
2024-03-07,15:47:44,12,1,495,80,60,271,0
2022-04-16,10:01:21,24,3,242,83,66,122,0
2022-02-01,18:50:35,16,1,414,167,24,87,1
2024-12-19,12:43:57,24,1,270,237,58,100,0
2024-03-26,16:07:03,14,1,289,214,76,31,1
2024-12-13,13:07:36,17,2,182,83,59,194,1
2024-10-23,11:04:14,16,3,257,108,87,58,0
2023-11-19,14:44:12,1,1,513,189,23,273,1
2024-03-11,13:40:17,2,3,399,208,84,188,0
2024-11-24,15:56:49,14,1,213,89,16,69,1
2023-07-03,17:16:41,24,1,205,256,20,148,1
2023-06-26,13:01:17,17,1,447,244,39,300,1
2023-01-17,20:11:11,23,1,594,187,58,230,1
2022-03-02,13:31:28,23,3,395,255,73,63,0
2023-04-17,19:51:49,23,3,459,82,81,287,0
2024-11-19,10:26:13,24,3,428,74,60,91,1
2024-03-30,17:05:22,13,2,430,129,54,147,1
2022-01-16,16:14:44,17,1,242,130,27,280,0
2024-08-24,15:29:14,9,3,187,195,73,102,1
2024-07-28,21:30:51,5,1,536,276,65,115,0
2022-12-17,10:37:42,3,2,213,96,76,72,1
2024-01-03,03:16:12,2,4,530,133,98,297,0
2023-04-03,20:37:00,25,1,390,169,76,266,0
2024-12-25,17:00:01,17,4,457,149,66,132,0
2023-08-02,22:22:14,18,1,301,204,118,34,1
2024-07-26,18:05:44,8,4,486,159,34,224,1
